member_id,profile_name,source_url,tag_type,tag,normalized_tag,taxonomy_status,includes_legacy_narrative,built_at_utc,source_types,supporting_source_count,supporting_source_labels
mem_1a2035eb16,Karl Klein,https://profiles.ucalgary.ca/karl-klein,mesh_concept,Epilepsy,epilepsy,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_list,3,Brain somatic variatis causing epilepsy || Genetics of epilepsy || Precision medicine in epilepsy
mem_1a2035eb16,Karl Klein,https://profiles.ucalgary.ca/karl-klein,mesh_concept,Genetics,genetics,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_list,1,Genetics of epilepsy
mem_1a2035eb16,Karl Klein,https://profiles.ucalgary.ca/karl-klein,hbi_umbrella,Genetics and Genomics,genetics and genomics,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_list,1,Genetics of epilepsy
mem_1a2035eb16,Karl Klein,https://profiles.ucalgary.ca/karl-klein,hbi_umbrella,Neurological Disorders,neurological disorders,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_list,3,Brain somatic variatis causing epilepsy || Genetics of epilepsy || Precision medicine in epilepsy
mem_1a8581bdce,Fetch Failed,https://profiles.ucalgary.ca/jiami-guo,mesh_concept,Autistic Disorder,autistic disorder,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,autism
mem_1a8581bdce,Fetch Failed,https://profiles.ucalgary.ca/jiami-guo,mesh_concept,Neurodegenerative Diseases,neurodegenerative diseases,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,neurodegenerative disorders
mem_1a8581bdce,Fetch Failed,https://profiles.ucalgary.ca/jiami-guo,mesh_concept,Neurodevelopmental Disorders,neurodevelopmental disorders,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,neurodevelopmental disorders
mem_1a8581bdce,Fetch Failed,https://profiles.ucalgary.ca/jiami-guo,mesh_concept,Stroke,stroke,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Stroke
mem_1a8581bdce,Fetch Failed,https://profiles.ucalgary.ca/jiami-guo,hbi_umbrella,Cardiovascular Health,cardiovascular health,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Stroke
mem_1a8581bdce,Fetch Failed,https://profiles.ucalgary.ca/jiami-guo,hbi_umbrella,Mental Health,mental health,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,2,autism || neurodevelopmental disorders
mem_1a8581bdce,Fetch Failed,https://profiles.ucalgary.ca/jiami-guo,hbi_umbrella,Neurological Disorders,neurological disorders,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,neurodegenerative disorders
mem_1da9136136,Oury Monchi,https://profiles.ucalgary.ca/oury-monchi,mesh_concept,Dementia,dementia,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,2,Dementia & Cognitive Disorders || dementia
mem_1da9136136,Oury Monchi,https://profiles.ucalgary.ca/oury-monchi,mesh_concept,Movement Disorders,movement disorders,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Movement Disorders
mem_1da9136136,Oury Monchi,https://profiles.ucalgary.ca/oury-monchi,mesh_concept,Neuroimaging,neuroimaging,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Neuroimaging
