member_id,link_group,platform,label,identifier,url,relationship_type,source_url,verification_status,display_order
mem_a4dc36ebf7,research_ecosystem,Research Lab,Trang Lab,,https://www.painandpoppies.com,Research lab,https://profiles.ucalgary.ca/tuan-trang,source_declared,100
mem_a5c016ebe3,research_profile,PubMed,PubMed Author Search,,https://www.ncbi.nlm.nih.gov/pubmed/?term=gerald+pfeffer,Publication index,https://profiles.ucalgary.ca/gerald-pfeffer,source_declared,60
mem_a68812ef9c,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.com/citations?user=5AarDtUAAAAJ,Scholarly profile,https://profiles.ucalgary.ca/leticia-radin-pereira,source_declared,20
mem_aa8dee36aa,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.com/citations?user=wVdlki4AAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/mary-dunbar,source_declared,20
mem_ab3c7cd459,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.ca/citations?user=f1BTB90AAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/alexander-mcgirr,source_declared,20
mem_ab3c7cd459,research_ecosystem,Research Lab,McGirr Lab Website,,https://mcgirrlab.com,Research lab,https://profiles.ucalgary.ca/alexander-mcgirr,source_declared,100
mem_ae209aa8cc,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.ca/citations?user=eSq6kSIAAAAJ&hl=en&oi=ao,Scholarly profile,https://profiles.ucalgary.ca/timothy-shutt,source_declared,20
mem_ae209aa8cc,research_profile,ORCID,ORCID Profile,0000-0001-5299-2943,https://orcid.org/0000-0001-5299-2943,Scholarly identifier,https://profiles.ucalgary.ca/timothy-shutt,source_declared,30
mem_ae209aa8cc,research_profile,PubMed,PubMed Author Search,,https://www.ncbi.nlm.nih.gov/pubmed/?term=((Shutt)+AND+(Mitochondrial+OR+L7a)),Publication index,https://profiles.ucalgary.ca/timothy-shutt,source_declared,60
mem_ae209aa8cc,research_profile,PubMed,PubMed Author Search,,https://pubmed.ncbi.nlm.nih.gov/?term=Shutt+Timothy,Publication index,https://profiles.ucalgary.ca/timothy-shutt,source_declared,60
mem_afba364ee4,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.ca/citations?user=xotl7dgAAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/yeonjung-lee,source_declared,20
mem_afba364ee4,research_profile,ResearchGate,ResearchGate Profile,,https://www.researchgate.net/profile/Yeonjung-Lee,Scholarly profile,https://profiles.ucalgary.ca/yeonjung-lee,source_declared,40
mem_afba364ee4,research_ecosystem,Website,Faculty website,,https://socialwork.ucalgary.ca/yeonjung-lee,Associated website,https://profiles.ucalgary.ca/yeonjung-lee,source_declared,100
mem_b49402b919,research_ecosystem,Research Lab,Lab site,,https://www.parklab.ca,Research lab,https://profiles.ucalgary.ca/joanne-park,source_declared,100
mem_b5df8f2ae8,research_profile,ResearchGate,ResearchGate Profile,,https://www.researchgate.net/profile/David-Hodgins-2,Scholarly profile,https://profiles.ucalgary.ca/david-carson-hodgins,source_declared,40
mem_b5df8f2ae8,research_ecosystem,Research Lab,Addictive Behaviours Lab,,https://ucalgary.ca/labs/addictive-behaviours/addictive-behaviours,Research lab,https://profiles.ucalgary.ca/david-carson-hodgins,source_declared,100
mem_b71fb09d51,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.com/citations?hl=en&user=9hPfrbkAAAAJ,Scholarly profile,https://profiles.ucalgary.ca/helen-carlson,source_declared,20
mem_b71fb09d51,research_profile,PubMed,PubMed Author Search,,https://pubmed.ncbi.nlm.nih.gov/?term=Carlson+HL&cauthor_id=34127850,Publication index,https://profiles.ucalgary.ca/helen-carlson,source_declared,60
mem_b738ee42b4,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.com/citations?user=PnXwrF8AAAAJ&hl=en&oi=ao,Scholarly profile,https://profiles.ucalgary.ca/stephen-west,source_declared,20
